prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
VRTrainingScenario,VRTrainingScenario,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
VRTrainingSession,VRTrainingSession,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
VRSessionPerformance,VRSessionPerformance,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VRCollaborativeSession,VRCollaborativeSession,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
NeuroSymbolicReasoning,NeuroSymbolicReasoning,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RuleInference,RuleInference,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
FederatedSwarmPeer,FederatedSwarmPeer,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
FederatedSwarmAggregation,FederatedSwarmAggregation,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
PrivacyBudgetLedger,PrivacyBudgetLedger,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SCAFFOLDControlVariate,SCAFFOLDControlVariate,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
KnowledgeGraphEntity,KnowledgeGraphEntity,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
KnowledgeGraphRelationship,KnowledgeGraphRelationship,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
Notification,Notification,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
NotificationPreference,NotificationPreference,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Webhook,Webhook,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
WebhookEvent,WebhookEvent,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SubscriptionHistory,SubscriptionHistory,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
UsageTracking,UsageTracking,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ApiKey,ApiKey,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DemoRequest,DemoRequest,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
FeatureSubscription,FeatureSubscription,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ControlMapping,ControlMapping,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AISuggestion,AISuggestion,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
EvidenceVersion,EvidenceVersion,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ChatConversation,ChatConversation,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
AISystem,AISystem,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
AIRMFCoreFunction,AIRMFCoreFunction,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFCategory,AIRMFCategory,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFSubcategory,AIRMFSubcategory,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFTrustworthinessCharacteristic,AIRMFTrustworthinessCharacteristic,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFLifecycleStage,AIRMFLifecycleStage,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFActor,AIRMFActor,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFAssessment,AIRMFAssessment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFProfile,AIRMFProfile,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AIRMFRiskActivity,AIRMFRiskActivity,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
EUAIActSystem,EUAIActSystem,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
